Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/06/15/usac-recap-june-9-2,112,95,0:01:27,37,59.46%,41.07%,$0.00 
/2020/06/29/scouting-report-holden-powell,112,109,0:02:08,88,93.18%,83.04%,$0.00 
/2020/10/16/proposition-18-could-amplify-young-voices-but-may-not-increase-voter-turnout,112,109,0:01:21,84,95.24%,77.68%,$0.00 
/2020/10/17/movie-review-totally-under-control-offers-chilling-picture-of-us-failed-covid-19-response,112,106,0:02:00,88,89.77%,83.93%,$0.00 
/2020/10/28/the-quad-forming-new-healthy-habits-becomes-crucial-as-covid-19-upends-daily-routines,112,105,0:03:28,57,91.23%,68.75%,$0.00 
/2011/01/20/two_ucla_computer_science_professors_teach_classes_without_pay,111,108,0:05:12,107,94.39%,94.59%,$0.00 
/2015/12/22/bel-air-camera-to-close-after-decades-in-business,111,107,0:01:29,106,92.45%,92.79%,$0.00 
/2017/02/23/the-quad-analyzing-the-pros-and-cons-of-fitspiration-on-social-media,111,103,0:03:19,103,92.23%,92.79%,$0.00 
/2018/03/08/continued-underrepresentation-of-minorities-in-film-tv-set-to-change,111,103,0:05:28,100,93.00%,90.09%,$0.00 
/2018/05/29/medina-found-guilty-of-first-degree-murder-in-trial-by-jury,111,100,0:02:06,54,75.93%,63.06%,$0.00 
/2018/08/19/avvalzameer-bhatia-ucla-should-offer-vacant-air-conditioned-rooms-to-summer-school-students,111,104,0:05:34,103,91.26%,90.99%,$0.00 
/2020/05/15/alfred-brews-up-solutions-to-keep-coffee-matcha-in-hands-of-angelenos,111,109,0:06:08,96,95.83%,88.29%,$0.00 
/2020/06/03/editorial-uclas-deafening-silence-on-black-lives-matter-movement-sanctions-complicity-hurts-bruins?fbclid=IwAR2GM47U1ezFzhnsuRSxLQcwLPTCh2G8bk3s3hzHjKQOP5He_yIrMIsAvSs,111,93,0:03:23,64,73.44%,73.87%,$0.00 
/2020/06/10/reflecting-on-my-time-as-a-copy-editor-the-little-details-mattered-most-30,111,105,0:02:23,56,91.07%,60.36%,$0.00 
/2020/06/10/year-in-review-getty-fire-covid-19-pandemic-protests-against-racial-injustice,111,102,0:01:21,60,80.00%,59.46%,$0.00 
/2020/10/31/battle-of-the-editors-predictions-for-ucla-footballs-upcoming-season,111,104,0:04:08,98,93.88%,90.09%,$0.00 
/category/sports/mens-basketball,111,97,0:01:26,83,63.86%,65.77%,$0.00 
/2002/02/28/uninformed-opinions-are-harmfu,110,102,0:05:16,102,95.10%,92.73%,$0.00 
/2010/05/05/word-rape-should-not-be-trivialized-out-context,110,97,0:07:40,96,91.67%,87.27%,$0.00 
/2010/10/19/ucla_students_reconnect_with_religion_and_spirituality,110,103,0:01:43,100,92.00%,91.82%,$0.00 
/2016/01/25/westwood-village-bar-oharas-closes-to-be-replaced-by-roccos-tavern,110,101,0:01:28,95,87.37%,84.55%,$0.00 
/2017/08/19/theater-review-hamilton-an-american-musical,110,106,0:10:20,106,96.23%,96.36%,$0.00 
/2019/03/06/ucla-alumna-hits-home-with-softball-companies-mentors-young-female-athletes,110,107,0:02:04,107,96.26%,96.36%,$0.00 
/2019/05/08/fraternity-sexual-assault-allegations-should-not-brand-greek-community-as-a-whole,110,106,0:01:20,89,88.76%,80.00%,$0.00 
/2019/08/18/from-fashion-to-gaming-a-quick-guide-to-student-organizations-on-campus,110,103,0:04:53,92,77.17%,73.64%,$0.00 
/2020/01/14/public-information-is-lacking-for-over-2-million-used-by-two-campus-committees,110,104,0:03:30,65,60.00%,61.82%,$0.00 
/2020/09/08/ucla-alum-fellow-editing-team-examine-choices-and-process-behind-mrs-america,110,102,0:02:48,71,92.96%,72.73%,$0.00 
/2009/04/09/co-gen-helps-ucla-go-green,109,97,0:04:13,96,90.62%,88.07%,$0.00 
/2017/01/16/ucla-alum-offers-solution-to-parking-struggles-near-campus-via-website,109,93,0:02:54,87,85.06%,85.32%,$0.00 
/2017/03/12/ucla-to-propose-new-dorms-apartments-to-match-enrollment-increase,109,96,0:03:04,83,80.72%,77.98%,$0.00 
/2018/04/27/global-melodies-returning-from-three-decades-of-hiatus-thai-music-ensemble-continues-to-grow,109,92,0:05:22,90,86.67%,83.49%,$0.00 
/2018/05/29/sam-smoot-ucla-needs-clearer-universitywide-guidelines-regarding-use-of-homework-solution-sites,109,105,0:08:24,100,95.00%,94.50%,$0.00 
/2019/11/25/chicanao-studies-department-votes-on-adding-central-american-studies-to-name,109,99,0:02:53,89,80.90%,81.65%,$0.00 
/2019/12/25/movie-review-theres-nothing-small-about-greta-gerwigs-adaptation-of-little-women,109,99,0:01:22,97,88.66%,87.16%,$0.00 
/2020/03/04/editorial-ucla-owes-students-faculty-transparency-after-callous-handling-of-tft-layoffs,109,103,0:02:38,74,64.86%,62.39%,$0.00 
/2020/09/04/movie-review-tenet-overcomes-its-flaws-delivers-with-its-action-sequences-and-visceral-visuals,109,100,0:02:45,68,82.35%,73.39%,$0.00 
/2020/10/29/lessons-of-growth-stem-from-students-budding-social-media-plant-account,109,100,0:01:50,77,85.71%,76.15%,$0.00 
/author/hyeyoon-alyssa-choi,109,71,0:01:12,51,54.90%,39.45%,$0.00 
/2017/03/07/dorm-dining-vegan-rice-cooker-chili-delivers-complex-flavors-despite-simple-recipe,108,94,0:04:49,94,86.17%,84.26%,$0.00 
/2018/05/01/wine-about-it-go-over-the-velvet-moon-for-cabernet-sauvignon,108,105,0:04:12,104,95.19%,94.44%,$0.00 
/2018/10/14/students-company-offers-products-for-natural-breast-enhancement,108,98,0:05:16,85,89.41%,85.19%,$0.00 
/2019/09/01/seismic-assessment-lists-some-ucla-buildings-as-posing-serious-risk-to-life,108,97,0:04:09,73,83.56%,75.93%,$0.00 
/2019/10/28/getty-fire-reaches-27-containment-santa-ana-wind-event-predicted-until-thursday,108,94,0:05:08,60,75.00%,62.04%,$0.00 
/2019/11/06/anonymous-accuser-publicly-speaks-out-against-heaps-following-court-hearing,108,103,0:05:19,79,77.22%,76.85%,$0.00 
/2020/03/25/more-than-80-of-residents-leave-the-hill-after-decision-to-move-classes-online,108,100,0:01:05,44,86.36%,61.11%,$0.00 
/2020/06/11/graduation-in-2020-daily-bruin,108,93,0:02:00,51,76.47%,50.00%,$0.00 
/2020/09/19/magnitude-4-6-earthquake-strikes-approximately-20-miles-from-ucla-campus?_native_ads=1,108,100,0:01:58,100,87.00%,87.04%,$0.00 
/2020/10/20/mens-basketball-maintains-cautiously-optimistic-outlook-ahead-of-new-season,108,101,0:02:39,46,80.43%,57.41%,$0.00 
/category/los-angeles,108,98,0:00:53,32,71.88%,44.44%,$0.00 
/2000/10/22/stereotypes-about-suburban-lif,107,102,0:05:29,102,97.06%,95.33%,$0.00 
/2011/03/14/ucla_student039s_youtube_video_039asians_in_the_library039_prompts_death_threats_violent_responses_c,107,95,0:05:07,86,74.42%,74.77%,$0.00 
/2012/01/31/ucla_astrophysicist_andrea_ghez_becomes_the_first_woman_to_win_the_crafoord_prize,107,99,0:07:11,93,88.17%,85.98%,$0.00 
/2015/06/22/qa-ucla-alumna-joannie-burstein-talks-success-in-entertainment-industry,107,102,0:03:38,102,93.14%,93.46%,$0.00 
/2015/10/26/ap-ib-credit-no-longer-to-be-factored-in-enrollment-priority-at-ucla,107,98,0:03:28,98,88.78%,88.79%,$0.00 
/2017/04/10/grad-student-leaves-engineering-career-to-pursue-filmmaking,107,102,0:06:25,99,91.92%,91.59%,$0.00 
/2018/01/17/student-collaborates-with-major-fashion-brands-before-turning-18,107,102,0:01:36,81,92.59%,88.79%,$0.00 
/2019/06/26/judge-postpones-hearing-of-former-ucla-doctor-charged-with-sexual-battery,107,100,0:01:35,32,87.50%,58.88%,$0.00 
/2020/04/24/despite-season-being-canceled-ucla-beach-volleyball-looks-ahead-to-next-year,107,104,0:03:30,89,89.89%,84.11%,$0.00 
/2020/05/26/with-daca-threatened-uclas-undocumented-student-population-deserves-better,107,99,0:03:39,75,82.67%,71.03%,$0.00 
/2020/08/23/usac-recap-august-11,107,99,0:01:51,51,76.47%,54.21%,$0.00 
/2020/09/22/students-express-concern-over-priority-research-areas-for-national-fellowship-program,107,102,0:04:16,82,89.02%,72.90%,$0.00 
/2020/10/15/readers-learn-to-focus-on-lifes-central-perks-instead-of-mistakes-in-alumnas-book,107,71,0:04:41,44,81.82%,54.21%,$0.00 
/2010/11/23/tangled,106,96,0:00:37,96,92.71%,90.57%,$0.00 
/2017/01/12/two-residents-elected-to-westwood-neighborhood-council-renter-seats,106,96,0:04:16,96,91.67%,90.57%,$0.00 
/2018/06/08/the-quad-the-long-convoluted-history-that-entrenches-the-quarter-system-at-ucla,106,100,0:05:26,98,90.82%,90.57%,$0.00 
/2019/08/18/after-months-of-bargaining-medical-residents-reach-tentative-agreement-with-ucla,106,96,0:03:44,90,84.44%,82.08%,$0.00 
/2020/01/08/law-organization-changes-name-after-concerns-regarding-origins-of-its-previous-one,106,92,0:07:10,90,86.67%,84.91%,$0.00 
/2020/04/08/usac-approves-candidates-and-referenda-for-online-spring-2020-election-ballot,106,98,0:03:01,57,64.91%,54.72%,$0.00 
/2020/05/12/columns-from-quarantine-with-four-year-timeline-gone-maybe-a-shortened-college-experience-can-be-enough,106,84,0:01:42,48,72.92%,57.55%,$0.00 
/2020/05/21/epidemiology-adjunct-professor-helps-china-develop-implement-covid-19-response,106,101,0:03:38,83,86.75%,78.30%,$0.00 
/2020/10/16/new-movie-explores-difficulties-of-navigating-freshman-year-of-college,106,101,0:03:33,75,86.67%,73.58%,$0.00 
/2020/10/28/study-finds-younger-voters-mail-in-ballots-more-likely-to-be-rejected,106,97,0:02:33,49,83.67%,66.04%,$0.00 
/category/higher-education,106,84,0:00:48,4,50.00%,23.58%,$0.00 
/2006/03/09/ia-quarter-off-makes-a-world-o,105,102,0:05:22,101,93.07%,93.33%,$0.00 
/2017/09/13/ucla-student-found-dead-in-westwood-campus-housing,105,101,0:03:54,81,70.37%,65.71%,$0.00 
/2018/02/22/track-and-field-athletes-say-under-armour-shoes-not-ideal-for-sport,105,99,0:01:09,96,89.58%,86.67%,$0.00 
/2019/01/17/google-to-establish-new-offices-near-westwood-expo-line-stop,105,101,0:02:24,85,91.76%,91.43%,$0.00 
/2019/04/19/study-finds-1-in-5-ms-patients-referred-to-ucla-cedars-sinai-were-misdiagnosed,105,100,0:04:42,100,91.00%,90.48%,$0.00 
/2019/05/28/delivery-service-need-westwood-rides-into-ucla-but-on-electric-scooters,105,100,0:02:16,88,96.59%,90.48%,$0.00 
/2019/10/31/reasonable-accessibility-of-on-campus-elevators-questioned-by-usac-commissioner,105,101,0:02:32,60,75.00%,78.10%,$0.00 
/2020/01/29/ucla-to-build-apartment-building-for-faculty-on-hilgard-avenue-lindbrook-drive,105,103,0:03:28,60,86.67%,69.52%,$0.00 
/2020/02/28/gallery-exploring-the-original-los-angeles-flower-market,105,98,0:03:54,75,92.00%,75.24%,$0.00 
/2020/04/06/shannon-perry-lebeauf-finds-family-in-womens-basketball-helps-mentor-players,105,93,0:03:57,83,91.57%,80.00%,$0.00 
/2020/04/24/the-study-at-hedrick-to-open-for-limited-hours-with-no-dining-options,105,101,0:05:25,90,85.56%,86.67%,$0.00 
/2020/05/21/ucla-team-compiles-coronavirus-related-data-creates-statistical-modeling-tool,105,97,0:01:07,88,88.64%,82.86%,$0.00 
/2020/06/10/graphic-unfinished-business,105,83,0:03:01,25,64.00%,40.95%,$0.00 
/2020/06/18/the-quad-making-the-most-of-virtual-commencement-means-celebrating-traditions-and-innovations,105,101,0:04:25,65,92.31%,79.05%,$0.00 
/2020/09/22/students-required-to-pay-more-than-100-in-campus-fees-despite-facility-closures,105,95,0:02:27,50,74.00%,55.24%,$0.00 
/2020/10/12/water-polo-players-reflect-on-time-spent-away-from-the-pool-dive-into-academics,105,104,0:03:15,67,85.07%,71.43%,$0.00 
/2020/10/22/posthumous-9m-donation-from-married-professors-to-support-students-faculty,105,98,0:03:44,79,82.28%,71.43%,$0.00 
/2020/10/27/qa-new-edi-vice-chancellor-anna-spain-bradleys-goals-for-her-upcoming-term,105,91,0:02:36,60,81.67%,64.76%,$0.00 
/author/allison-oliva,105,86,0:00:33,21,61.90%,51.43%,$0.00 
/author/kalysa-to,105,94,0:00:51,69,62.32%,58.10%,$0.00 
/2018/03/11/ankita-nair-alumni-scholarship-application-deadline-disadvantages-incoming-students,104,100,0:02:28,96,94.79%,92.31%,$0.00 
/2018/10/30/new-ucla-study-reveals-statistics-on-student-policing-by-laspd,104,98,0:04:23,96,90.62%,91.35%,$0.00 
/2019/09/19/obituary-westwoods-beloved-hairstylist-dies-remembered-in-hearts-of-generations-of-bruins,104,81,0:04:17,77,76.62%,69.23%,$0.00 
/2019/10/19/the-quad-an-overview-of-fires-near-ucla-in-recent-years-and-their-causes,104,100,0:03:48,97,85.57%,85.58%,$0.00 
/2020/05/06/student-seeks-to-spread-aloha-spirit-in-hawaiian-inspired-line-of-wire-jewelry,104,96,0:01:45,77,83.12%,77.88%,$0.00 
/2020/05/11/qa-sophia-james-discusses-experiences-musical-journey-on-american-idol,104,101,0:01:12,86,96.51%,89.42%,$0.00 
/2020/06/10/film-program-projects-new-showcase-plans-postpones-some-amid-pandemic,104,94,0:02:34,70,85.71%,65.38%,$0.00 
/2020/06/18/quarantine-diaries-international-students,104,93,0:02:16,23,78.26%,46.15%,$0.00 
/2020/08/28/movie-review-get-duked-falls-flat-with-one-dimensional-characters-lacks-laugh-out-loud-moments,104,100,0:03:43,81,87.65%,80.77%,$0.00 
/2020/10/28/opinion-ucla-must-suspend-classes-on-election-day-to-give-students-time-to-vote,104,95,0:03:47,68,89.71%,79.81%,$0.00 
/2014/08/04/graphic-equivalents-of-20-million-gallons-of-water,103,81,0:01:02,81,76.54%,78.64%,$0.00 
/2014/10/31/thread-count-revisiting-ucla-footballs-alternate-uniforms,103,97,0:03:57,91,93.41%,91.26%,$0.00 
/2018/10/25/on-campus-health-care-should-be-option-for-all-students-not-just-those-with-uc-ship,103,97,0:07:46,89,91.01%,88.35%,$0.00 
/2020/01/29/anti-hazing-advocate-speaks-at-ucla-pushing-for-students-to-speak-up,103,98,0:03:36,88,85.23%,80.58%,$0.00 
/2020/02/20/ucla-experts-dispute-effectiveness-of-airport-screening-in-detecting-coronavirus,103,101,0:01:14,95,95.79%,93.20%,$0.00 
/2020/03/27/temporary-shelters-open-across-la-to-house-homeless-in-novel-coronavirus-pandemic,103,96,0:01:29,74,85.14%,81.55%,$0.00 
/2020/05/26/qa-uclas-next-athletics-director-speaks-on-bringing-his-diverse-experience-to-westwood,103,96,0:05:30,67,83.58%,75.73%,$0.00 
/2020/06/10/the-copy-desk-at-daily-bruin-provided-me-with-friendships-a-second-family-30,103,95,0:02:12,58,82.76%,57.28%,$0.00 
/2020/10/07/book-preview-notable-authors-fall-releases-range-from-dystopian-novels-to-autobiographies,103,96,0:02:11,67,89.55%,73.79%,$0.00 
/2020/10/14/west-wing-reflections-themes-of-racial-discrimination-echo-from-bartlets-administration-to-today,103,100,0:02:53,77,89.61%,81.55%,$0.00 
/author/christina-williams,103,79,0:00:58,51,62.75%,48.54%,$0.00 
/author/noah-danesh,103,82,0:00:57,21,47.62%,35.92%,$0.00 
/2016/05/04/patient-accuses-ucla-medical-center-of-malpractice,102,93,0:04:59,82,86.59%,84.31%,$0.00 
/2017/11/07/william-zou-ucla-must-subsidize-costs-of-commercial-software-technology-projects,102,94,0:07:20,92,88.04%,88.24%,$0.00 
/2018/05/30/decision-to-replace-financial-actuarial-math-programs-lecturers-will-hurt-students,102,100,0:02:19,89,86.52%,84.31%,$0.00 
/2018/10/02/former-doctoral-student-arrested-for-involvement-in-2017-charlottesville-riots,102,98,0:04:40,98,92.86%,93.14%,$0.00 
/2019/03/11/man-arrested-on-charges-of-vandalism-for-slashing-tires-in-ucla-parking-lot,102,84,0:00:41,16,75.00%,37.25%,$0.00 
/2019/09/09/frustration-builds-for-westwood-residents-near-ucla-housing-construction-projects,102,100,0:01:59,92,88.04%,85.29%,$0.00 
/2020/05/21/battle-of-the-editors-uclas-most-documentary-worthy-sports-storylines,102,97,0:01:05,68,94.12%,73.53%,$0.00 
/2020/10/12/2020-election-biden-for-president,102,94,0:01:52,25,72.00%,42.16%,$0.00 
/2020/10/20/opinion-ucla-should-be-doing-more-to-inform-students-of-voting-options,102,94,0:03:07,73,87.67%,72.55%,$0.00 
/2020/10/28/ucla-researchers-utilize-enzymes-to-create-potential-covid-19-treatment,102,92,0:03:10,59,83.05%,63.73%,$0.00 
/2002/04/14/bushs-cloning-ban-is-morally-c,101,76,0:01:29,61,34.43%,31.68%,$0.00 
/2015/09/21/sororities-suspend-bruin-bash-publicity-after-pi-beta-phi-member-death,101,97,0:01:29,90,84.44%,81.19%,$0.00 
/2016/05/24/ucla-athletics-set-to-leave-adidas-join-under-armour-in-2017,101,98,0:02:59,93,87.10%,87.13%,$0.00 
/2017/12/02/museum-of-failure-displays-misguided-unsuccessful-creations,101,96,0:06:15,96,93.75%,93.07%,$0.00 
/2019/04/27/album-review-marinas-love-fear-produces-unoriginal-sounds-fails-to-convey-clear-message,101,101,0:01:12,94,96.81%,93.07%,$0.00 
/2020/01/29/hana-nwwnc-should-vote-to-remove-hostile-architecture-in-upcoming-meeting,101,94,0:05:41,87,86.21%,82.18%,$0.00 
/2020/03/31/the-quad-sharing-some-good-news-amid-the-coronavirus-pandemic,101,93,0:05:04,85,90.59%,82.18%,$0.00 
/2020/04/29/mayor-eric-garcetti-announces-free-covid-19-testing-for-all-la-county-residents,101,92,0:01:42,40,62.50%,60.40%,$0.00 
/2020/07/25/usac-recap-july-14,101,95,0:04:14,55,72.73%,63.37%,$0.00 
/2020/09/29/usac-recap-sept-22-allocation-of-funds-to-office-staff-stipends-academic-senate-appointments,101,82,0:01:52,40,65.00%,54.46%,$0.00 
/author/ashley-kim,101,82,0:01:07,35,62.86%,43.56%,$0.00 
/author/olivia-mazzucato,101,74,0:00:55,34,70.59%,43.56%,$0.00 
/author/zinnia-finn,101,67,0:01:06,17,29.41%,27.72%,$0.00 
/post/campbell-hall-renovation-reminder-of-student-activism-history,101,96,0:03:38,88,77.27%,78.22%,$0.00 
/sponsored/uc-cross-enroll-course-highlight-comm-146,101,84,0:03:04,66,84.85%,70.30%,$0.00 
/tag/ucla-flood,101,84,0:01:23,79,54.43%,55.45%,$0.00 
/2016/01/27/teaching-assistant-inspires-with-his-lifelong-commitment-to-education,100,91,0:04:15,89,92.13%,89.00%,$0.00 
/2019/09/23/student-managers-gain-behind-the-scenes-experience-working-for-ucla-athletics,100,96,0:06:17,91,90.11%,89.00%,$0.00 
/2020/03/04/op-ed-graduate-students-are-seeking-cola-uc-has-yet-to-budge,100,97,0:02:57,82,90.24%,84.00%,$0.00 
/2020/03/05/recent-rewinds-unclear-whether-vines-successor-byte-will-have-a-lifespan-as-short-as-its-videos,100,93,0:03:48,90,93.33%,90.00%,$0.00 
/2020/05/29/album-review-lady-gaga-returns-to-her-pop-roots-while-paying-homage-to-her-past-in-chromatica,100,95,0:03:40,77,94.81%,82.00%,$0.00 
/2020/09/22/students-elevate-and-explain-uclas-mental-health-resources-via-instagram,100,87,0:01:56,52,76.92%,60.00%,$0.00 
/2020/10/11/department-of-film-tv-and-digital-media-suspends-fall-2021-graduate-applications?fbclid=IwAR2olvM3jbUZx3kQOEZi372jm6joBWefCbevymAoTyejq-W3s4LHaQ0py54,100,98,0:09:04,97,95.88%,96.00%,$0.00 
/2020/10/16/students-have-responsibility-to-reduce-spread-of-covid-19-even-with-holiday-travel,100,93,0:02:03,52,86.54%,68.00%,$0.00 
/2020/10/22/opinion-uclas-mindfulness-resources-not-worth-much-without-proper-publicity,100,95,0:01:08,52,86.54%,59.00%,$0.00 
/2020/10/26/the-bruin-gastronomer-cold-soba-noodles,100,92,0:02:14,66,78.79%,65.00%,$0.00 
/category/california,100,82,0:00:39,12,75.00%,28.00%,$0.00 
/tag/usac-elections,100,86,0:01:28,47,31.91%,25.00%,$0.00 
/2017/04/18/brown-and-bothered-turning-tikkas-into-trend-subjects-it-to-disrespectful-debate,99,94,0:01:12,94,94.68%,94.95%,$0.00 
/2018/02/25/ucla-extension-employees-make-allegations-of-unethical-hiring-practices,99,92,0:04:06,69,82.61%,81.82%,$0.00 
/2020/06/10/ucla-needs-targeted-mental-health-resources-partnering-with-beygood-is-a-start,99,93,0:02:17,63,92.06%,75.76%,$0.00 
/1996/10/23/students-march-against-prop-20,98,95,0:03:31,87,85.06%,83.67%,$0.00 
/2017/04/18/the-quad-what-is-it-like-to-transfer-out-of-ucla,98,96,0:12:05,95,91.58%,91.84%,$0.00 
/2017/09/22/exploring-other-routes-may-benefit-pre-meds-unsure-about-medical-school,98,95,0:03:46,92,95.65%,94.90%,$0.00 
/2019/01/08/students-faculty-react-to-attempt-to-promote-diversity-to-uclas-hiring-process,98,92,0:01:58,34,88.24%,65.31%,$0.00 
/2019/09/02/editorial-uclas-prosecution-of-conduct-code-violations-can-be-arbitrary-without-oversight,98,91,0:02:53,67,67.16%,68.37%,$0.00 
/2020/01/15/ucla-rejects-parking-space-proposal-for-students-experiencing-homelessness,98,91,0:04:07,53,75.47%,63.27%,$0.00 
/2020/03/02/ice-cube-receives-award-at-ucla-for-contributions-to-entertainment-sports,98,95,0:03:20,83,97.59%,86.73%,$0.00 
/2020/03/09/the-quad-how-the-impact-of-asmr-has-been-felt-across-the-internet,98,94,0:01:16,89,94.38%,89.80%,$0.00 
/2020/03/24/ucla-moves-bruin-day-online-because-of-covid-19-outbreak,98,96,0:00:58,40,67.50%,60.20%,$0.00 
/2020/06/10/support-from-friends-in-daily-bruin-gave-me-the-confidence-to-recognize-my-talents-30,98,95,0:01:15,61,72.13%,52.04%,$0.00 
/2020/06/11/in-the-know-navigating-the-pandemics-impact-on-mental-health,98,92,0:02:37,56,83.93%,60.20%,$0.00 
/2020/06/14/movie-review-spike-lees-da-5-bloods-recalls-americas-decades-long-struggle-for-equality,98,90,0:02:43,56,89.29%,71.43%,$0.00 
/author/eli-countryman,98,81,0:00:42,49,79.59%,59.18%,$0.00 
/category/lifestyle,98,84,0:01:23,8,50.00%,16.33%,$0.00 
/2012/05/09/building_on_the_past_westwood_buildings_have_endured_through_time_multiple_businesses,97,80,0:04:30,78,85.90%,80.41%,$0.00 
/2012/07/15/courtside-check-in-residential-plaza-dorms-are-transformed-into-hotel-rooms-for-summer-visitors,97,89,0:02:31,87,87.36%,86.60%,$0.00 
/2015/06/01/unsung-heroes-kate-bishop-challenges-comics-portrayal-of-sexual-assault-survivors,97,91,0:02:00,90,96.67%,92.78%,$0.00 
/2016/05/23/ucla-doctoral-students-win-100000-grant-to-research-data-recovery,97,91,0:01:02,91,87.91%,88.66%,$0.00 
/2016/10/17/jessie-fleming-attributes-soccer-expertise-to-track-hockey-roots,97,93,0:08:32,90,93.33%,92.78%,$0.00 
/2016/10/19/professor-inspires-character-of-marshall-on-how-i-met-your-mother,97,92,0:07:59,91,94.51%,94.85%,$0.00 
/2018/01/18/movie-review-12-strong,97,91,0:01:06,91,93.41%,93.81%,$0.00 
/2018/05/24/defenses-witness-provides-testimony-of-nights-leading-up-to-delvescos-death,97,88,0:03:21,58,84.48%,65.98%,$0.00 
/2019/01/13/upcoming-youtube-series-wayne-uses-violence-thoughtfully-based-in-character,97,92,0:01:45,91,94.51%,94.85%,$0.00 
/2019/01/29/medea-rendition-to-highlight-ancient-story-of-womens-oppression-and-revenge,97,91,0:07:44,91,93.41%,92.78%,$0.00 
/2019/10/07/op-ed-underrepresented-students-could-benefit-from-improved-approach-to-mentor-programs,97,94,0:01:17,77,94.81%,91.75%,$0.00 
/2020/01/19/commission-approves-synthetic-turf-field-at-westwood-park-after-months-of-debate,97,95,0:02:29,93,92.47%,92.78%,$0.00 
/2020/03/05/the-quad-examining-the-effectiveness-of-cbd-products-ways-people-use-them,97,94,0:06:40,92,95.65%,94.85%,$0.00 
/2020/04/16/womens-basketballs-japreece-dean-sees-plans-to-go-pro-complicated-by-coronavirus,97,96,0:02:12,96,88.54%,88.66%,$0.00 
/2020/10/24/student-dies-after-falling-from-westwood-apartment-building?fbclid=IwAR1WMD1R4L18Ms815ExeQ3ykPOQlGd8Q5zZF3LvQIGBHqyrwQ87Cl0ueCTw,97,81,0:03:18,81,81.48%,79.38%,$0.00 
/2002/10/06/sex-friendly-on-campus-nooks-g,96,90,0:02:14,81,82.72%,81.25%,$0.00 
/2010/02/15/reading-bawdy-language,96,88,0:10:34,88,90.91%,91.67%,$0.00 
/2015/05/19/ucla-sports-medicine-internship-program-helps-student-find-her-calling,96,84,0:04:30,82,86.59%,82.29%,$0.00 
/2018/11/20/editorial-paul-koretzs-inflammatory-comments-confirm-his-failure-to-represent-westwood,96,93,0:04:00,78,79.49%,80.21%,$0.00 
/2019/08/18/uclas-involvement-in-thirty-meter-telescope-prompts-protest-from-student-groups,96,93,0:03:37,79,93.67%,88.54%,$0.00 
/2020/05/01/second-take-tiktok-is-savagely-redefining-rap-musics-cultural-significance,96,95,0:00:29,93,96.77%,94.79%,$0.00 
/2020/06/10/news-reporting-helped-me-navigate-hard-times-inspired-personal-transformation-30,96,90,0:01:47,21,76.19%,32.29%,$0.00 
/2020/06/10/the-newsroom-pushed-me-to-rise-to-the-occasion-and-overcome-self-doubt-30,96,90,0:03:02,33,69.70%,47.92%,$0.00 
/2020/09/08/usac-recap-aug-25,96,90,0:05:15,47,72.34%,58.33%,$0.00 
/2020/09/22/op-ed-new-federal-title-ix-regulations-will-not-reduce-support-for-students,96,90,0:01:32,61,88.52%,75.00%,$0.00 
/2020/10/21/uc-researchers-named-to-new-state-advisory-group-overseeing-vaccine-development,96,89,0:02:00,47,87.23%,56.25%,$0.00 
/category/uncategorized,96,55,0:00:58,11,45.45%,18.75%,$0.00 
/2018/09/26/alumna-uses-costume-design-to-craft-characters-auras-in-american-horror-story,95,85,0:01:30,77,83.12%,80.00%,$0.00 
/2019/05/30/former-football-player-files-15m-lawsuit-against-jim-mora-ucla,95,94,0:01:11,57,94.74%,77.89%,$0.00 
/2019/08/11/uclas-online-classes-provide-flexibility-but-fail-to-deliver-on-diversity-quality,95,91,0:02:36,80,90.00%,83.16%,$0.00 
/2019/09/15/class-on-coffee-blends-in-chemical-engineering-concepts,95,80,0:04:58,76,81.58%,78.95%,$0.00 
/2020/02/06/softball-adjusts-to-changes-in-roster-as-2020-season-starts,95,85,0:04:11,78,82.05%,76.84%,$0.00 
/2020/05/01/usac-committees-offer-reliefs-funds-to-assist-students-affected-by-covid-19,95,90,0:03:46,64,79.69%,69.47%,$0.00 
/2020/06/10/running-was-a-respite-from-the-chaos-of-editing-but-i-learned-to-find-balance-30,95,91,0:03:05,40,92.50%,53.68%,$0.00 
/1998/04/12/after-years-of-tragedy-lisa-ca,94,90,0:13:11,90,96.67%,95.74%,$0.00 
/2019/08/01/former-track-coach-who-trained-at-drake-stadium-accused-of-sexual-abuse-by-41-men,94,88,0:07:44,84,92.86%,90.43%,$0.00 
/2020/01/16/recent-rewinds-social-media-allows-movie-studios-to-make-real-time-improvements-to-films,94,91,0:05:24,87,96.55%,94.68%,$0.00 
/2020/02/04/ucla-students-advocate-for-global-community-in-health-care-conference,94,84,0:04:47,82,90.24%,85.11%,$0.00 
/2020/03/01/whether-admissions-officers-like-applicants-social-media-or-not-shouldnt-matter,94,89,0:03:07,74,83.78%,76.60%,$0.00 
/2020/05/27/professor-tracy-johnson-announced-as-incoming-dean-of-life-sciences-division,94,88,0:01:31,76,86.84%,74.47%,$0.00 
/2020/10/06/music-preview-recently-released-pop-rock-singles-foreshadow-promising-fall-album-drops,94,88,0:03:42,68,92.65%,77.66%,$0.00 
