Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/05/08/exploring-the-pet-tential-benefits-of-being-stuck-at-home-with-furry-friends/,241,214,0:04:05,146,87.67%,72.20%,$0.00
/2020/06/10/superlatives-daily-bruin-sports-honors-uclas-exceptional-2019-2020-athletes,241,224,0:02:30,176,86.93%,75.93%,$0.00
/2020/05/22/frivolous-spending-of-fees-points-to-institutional-issues-in-student-government/,240,229,0:02:36,127,80.31%,63.33%,$0.00
/2020/05/04/issues-surrounding-pandemic-responses-prevail-in-may-day-protests-around-la/,239,233,0:02:25,199,86.93%,79.92%,$0.00
/2020/06/10/perry-picasshoe-reimagines-famous-art-with-lgbtq-imagery-emphasizes-theme-of-love,239,225,0:01:52,198,90.91%,83.68%,$0.00
/2020/04/18/virtual-dance-marathon-2020-highlights-intersection-of-hiv-aids-and-covid-19/,238,225,0:01:57,186,90.86%,82.77%,$0.00
/2020/06/04/behind-the-bruin-how-we-re-designed-the-website-to-offer-a-more-digital-forward-experience,237,189,0:01:57,151,58.94%,48.95%,$0.00
/2020/06/10/pandemic-leaves-plans-up-in-air-for-international-students-despite-policy-changes,237,228,0:04:31,186,86.56%,77.64%,$0.00
/2020/03/12/ncaa-cancels-basketball-other-division-i-championships-in-light-of-covid-19-pandemic/,236,208,0:01:59,112,80.36%,62.29%,$0.00
/2020/05/21/editorial-inconsistent-pass-no-pass-grading-across-departments-hurts-well-being-of-students/,236,223,0:02:30,148,83.78%,67.37%,$0.00
/2020/01/31/movie-review-lover-or-hate-her-taylor-swift-controls-her-own-narrative-in-miss-americana/,235,229,0:02:20,225,96.89%,95.74%,$0.00
/2020/05/18/the-quad-whats-in-store-as-you-online-shop-to-help-your-stress-levels-drop/,235,221,0:01:50,143,90.21%,72.34%,$0.00
/2020/02/05/party-of-five-season-1-review-episode-6-patch-job/,234,221,0:05:09,190,89.47%,83.33%,$0.00
/2020/04/10/movie-review-tigertail-offers-intimate-look-into-family-relationships-across-generations/,234,216,0:03:40,158,90.51%,74.36%,$0.00
/2020/04/24/devin-asiasi-selected-by-new-england-patriots-in-third-round-of-2020-nfl-draft/,233,213,0:02:18,166,87.35%,75.97%,$0.00
/2020/05/19/ucla-ucsf-cdph-collaborate-to-train-coronavirus-contact-tracers,233,216,0:02:18,210,92.86%,88.84%,$0.00
/2020/04/28/from-the-sidelines-savvy-simo-reflects-on-time-at-ucla-plans-to-return-after-senior-season-cut-short/,231,220,0:02:01,156,86.54%,74.03%,$0.00
/2020/04/29/school-of-law-launches-project-to-track-data-on-incarceration-facilities-covid-19/,231,215,0:05:01,182,91.76%,85.28%,$0.00
/2020/05/13/students-officials-discuss-discontent-with-new-title-ix-rules-and-response-plans/,231,216,0:03:17,139,86.33%,68.83%,$0.00
/2020/05/21/la-film-festival-showcases-beginnings-growth-of-asian-american-cinema-with-lumpia/,231,212,0:03:29,196,90.82%,87.01%,$0.00
/2020/04/17/the-quad-predicting-the-potential-impact-of-the-coronavirus-pandemic-on-the-world/,230,211,0:04:01,143,89.51%,68.70%,$0.00
/2020/04/17/ucla-joins-worldwide-lightitblue-campaign-to-honor-those-fighting-covid-19/,230,207,0:02:13,143,79.02%,67.83%,$0.00
/2020/02/26/daily-bruin-editorial-board-2020-california-primary-election-endorsements/,229,215,0:01:11,171,55.56%,55.02%,$0.00
/2020/05/06/the-quad-examining-types-of-social-isolation-their-impacts-on-mental-health/,228,208,0:03:01,146,91.78%,75.44%,$0.00
/2020/05/13/improved-security-measures-on-the-hill-would-help-to-better-ensure-student-safety/,228,208,0:03:01,136,80.15%,65.79%,$0.00
/2020/05/26/killing-eve-season-3-recap-episode-7-beautiful-monster,228,218,0:03:34,211,92.89%,91.23%,$0.00
/2020/03/02/us-medical-licensing-examination-changes-affect-score-reporting-exam-practices/,224,210,0:05:59,205,94.63%,91.07%,$0.00
/2020/05/28/womens-soccers-14-incoming-freshmen-to-bring-depth-national-experience-to-program/,223,217,0:03:26,161,91.93%,82.96%,$0.00
/2020/01/21/restaurant-review-sip-matchas-rebranding-as-junbi-brings-comfort-options-to-westwood,222,205,0:02:26,204,94.61%,91.44%,$0.00
/2020/04/24/graduate-student-breathes-new-life-into-ventilator-building-process-with-prototype/,222,208,0:03:07,148,90.54%,75.23%,$0.00
/2020/01/27/qa-ucla-alum-reflects-on-social-media-after-reality-tv-show-experience/,221,210,0:02:02,204,93.63%,91.86%,$0.00
/2020/03/02/discussing-why-there-may-be-low-voter-turnout-among-young-people/,221,198,0:08:21,183,89.07%,85.07%,$0.00
/2020/03/14/editorial-cartoon-home/,221,205,0:01:13,119,79.83%,55.20%,$0.00
/2020/05/07/move-to-online-learning-has-positives-and-negatives-for-students-with-disabilities/,221,209,0:02:23,168,88.69%,76.92%,$0.00
/2020/05/19/ucla-beach-volleyball-senior-explores-her-love-of-cooking-in-igtv-series/,220,212,0:01:49,127,88.19%,71.82%,$0.00
/2020/06/10/the-quad-revisiting-affirmative-action-as-conversation-on-inequality-is-amplified,220,206,0:02:54,166,84.94%,75.45%,$0.00
/2020/06/10/transfer-students-work-to-find-funding-to-keep-doors-of-resource-center-open,219,197,0:03:21,171,88.89%,79.00%,$0.00
/2020/04/13/baseball-reflects-on-strong-start-and-quick-end-to-season-future-team-prospects/,218,208,0:02:57,164,93.29%,81.65%,$0.00
/2020/03/02/ucla-graduate-students-to-stage-protest-in-support-of-recently-fired-ucsc-tas/,217,199,0:03:27,154,85.71%,73.73%,$0.00
/2020/04/16/editorial-lack-of-mandated-time-zone-accommodations-hinders-learning-of-nonlocal-students/,217,213,0:01:53,120,95.83%,75.12%,$0.00
/2020/04/17/second-take-cancellations-of-concerts-are-upsetting-enough-ticketmaster-shouldnt-make-it-worse,217,204,0:08:49,204,93.63%,93.55%,$0.00
/2020/05/02/usac-officer-evaluation-kelechi-iheanacho-cultural-affairs-commissioner/,217,204,0:00:40,36,91.67%,23.96%,$0.00
/2020/02/27/ucs-termination-of-elsevier-contract-has-had-limited-negative-impact,216,202,0:03:35,195,89.74%,88.43%,$0.00
/2020/06/10/student-t-shirt-business-promotes-positivity-donates-profits-amid-covid-19,216,184,0:01:48,170,81.76%,76.85%,$0.00
/2020/03/11/fans-no-longer-allowed-to-attend-march-madness-pac-12-tournaments/,215,205,0:01:20,150,86.67%,80.47%,$0.00
/2020/06/10/water-polo-coach-adam-wrights-leadership-fosters-unique-supportive-team-culture,215,195,0:04:54,172,85.47%,79.07%,$0.00
/2020/04/28/alumnus-seeks-to-tell-a-human-story-of-resilience-in-crowdsourced-documentary/,214,185,0:02:10,133,84.21%,65.89%,$0.00
/2020/05/01/columns-from-quarantine-divorce-usually-means-separation-but-not-when-neither-parent-can-leave-the-house/,214,201,0:04:09,187,89.84%,87.85%,$0.00
/2020/05/30/la-mayor-eric-garcetti-implements-curfew-in-response-to-demonstrations,214,203,0:03:12,158,87.97%,77.10%,$0.00
/2020/02/11/ucla-faculty-mitigate-misinformation-about-coronavirus-in-campus-event/,213,206,0:01:20,170,87.06%,82.63%,$0.00
/2020/05/14/track-and-field-athletes-cook-up-ways-to-stay-in-shape-at-home-through-nutrition/,211,210,0:02:04,165,96.36%,81.99%,$0.00
/2020/02/22/ucla-parent-pleads-guilty-to-charges-in-college-admissions-scandal/,210,200,0:04:17,181,87.85%,83.81%,$0.00
/2020/03/04/public-health-emergency-declared-statewide-11-new-covid-19-cases-confirmed/,209,195,0:01:49,152,87.50%,78.95%,$0.00
/2020/05/01/battle-of-the-editors-best-bruins-in-the-bubble-to-feature-on-the-cover-of-future-ncaa-video-games/,209,195,0:02:40,143,88.81%,75.60%,$0.00
/2020/05/21/the-quad-how-the-supreme-court-faithless-electors-case-could-affect-future-us-elections/,209,193,0:05:35,156,87.18%,79.90%,$0.00
/2020/05/28/womens-soccers-14-incoming-freshmen-to-bring-depth-national-experience-to-program,209,193,0:03:07,153,77.78%,71.29%,$0.00
/2020/06/12/international-graduate-students-face-difficult-decisions-during-covid-19,209,206,0:04:13,185,91.89%,89.00%,$0.00
/2020/05/12/daily-bruin-earns-3-spj-awards-and-honors-in-national-collegiate-competition/,208,168,0:02:36,134,63.43%,55.77%,$0.00
/2020/06/09/investigation-clears-uc-regent-george-kieffer-of-sexual-misconduct-allegations,208,182,0:02:20,124,85.48%,65.87%,$0.00
/2020/04/14/the-quad-a-look-at-how-italy-became-the-epicenter-of-the-coronavirus-pandemic,206,187,0:03:25,180,86.11%,85.44%,$0.00
/2020/05/02/usac-officer-evaluation-johana-guerra-martinez-external-vice-president/,206,188,0:01:00,46,52.17%,18.45%,$0.00
/2020/02/10/westboro-baptist-churchs-picketing-at-ucla-outstripped-by-pro-lgbtq-counterprotests/,205,192,0:02:50,175,86.29%,82.44%,$0.00
/2020/05/19/the-laughs-continue-via-zoom-with-uclas-student-run-comedy-club/,205,192,0:02:57,144,88.89%,75.12%,$0.00
/2020/06/19/album-review-john-legend-continues-to-impress-with-signature-love-ballads-in-bigger-love,205,192,0:05:52,179,93.30%,88.78%,$0.00
/2020/01/27/uc-sees-record-undergraduate-enrollment-numbers-for-california-residents/,204,192,0:05:03,167,89.22%,85.78%,$0.00
/2020/02/23/student-short-film-explores-unifying-desperation-of-waiting-in-line-for-the-bathroom,203,177,0:02:45,167,87.43%,83.25%,$0.00
/2020/05/08/ucla-professors-alumni-help-create-more-sensitive-coronavirus-test-kit/,202,192,0:02:02,100,88.00%,66.83%,$0.00
/2020/03/16/faculty-housing-project-prioritization-points-to-larger-affordability-concerns/,200,193,0:01:53,111,91.89%,71.00%,$0.00
/2020/05/24/uc-regents-recap-may-19-21/,200,193,0:02:47,131,94.66%,83.00%,$0.00
/2020/05/31/protests-erupt-in-los-angeles-in-response-to-death-of-george-floyd/,200,193,0:06:11,170,93.53%,92.00%,$0.00
/2020/05/08/columns-from-quarantine-model-un-was-a-path-to-finding-herself-covid-19-proved-to-be-ultimate-roadblock/,199,180,0:04:32,172,88.95%,87.44%,$0.00
/2020/03/16/ucla-researchers-develop-magnetized-robots-capable-of-performing-medical-tasks/,197,182,0:02:22,146,90.41%,79.70%,$0.00
/2020/04/03/transition-to-online-class-poses-unique-challenges-for-tft-students-instructors/,197,184,0:02:32,89,82.02%,62.94%,$0.00
/2020/05/02/usac-officer-evaluation-kimberly-bonifacio-internal-vice-president/,196,159,0:01:16,35,31.43%,13.78%,$0.00
/2020/03/13/album-review-niall-horan-departs-from-typical-acoustic-ballads-in-emotional-narrative-record/,195,189,0:02:53,165,86.06%,81.03%,$0.00
/2020/04/15/hot-prowl-burglary-reported-on-400-block-of-gayley-avenue-no-injuries-reported/,195,179,0:02:21,122,88.52%,68.21%,$0.00
/2020/05/07/scattered-bruins-students-take-advantage-of-stay-at-home-orders-to-renew-expand-connection-to-art/,195,176,0:02:02,115,86.96%,65.64%,$0.00
/2020/06/06/protest-against-racial-injustice-draws-hundreds-to-wilshire-federal-building,195,129,0:00:33,122,53.28%,46.67%,$0.00
/2020/04/17/chicago-sky-select-former-ucla-guard-in-2020-wnba-draft/,194,179,0:03:04,134,82.84%,68.56%,$0.00
/2020/05/07/columns-from-quarantine-the-stresses-and-strain-of-virtual-socialization-during-the-pandemic/,194,166,0:03:13,132,80.30%,67.01%,$0.00
/2020/06/10/jacks-facts-what-the-coronavirus-pandemic-might-mean-for-the-future-of-college-sports,194,186,0:03:16,139,87.77%,74.74%,$0.00
/2020/02/02/survey-finds-36-of-college-admissions-officers-look-at-students-social-media/,193,186,0:04:51,172,91.28%,88.60%,$0.00
/2020/04/12/graphics-beat-the-boredom-personal-finance/,193,180,0:00:38,130,91.54%,74.61%,$0.00
/2020/05/05/the-quad-a-guide-to-uclas-health-care-services-during-covid-19-pandemic/,193,184,0:04:44,142,89.44%,78.76%,$0.00
/2020/06/21/columns-from-quarantine-living-with-diabetes-makes-isolation-complicated-sparks-feelings-of-frustration,193,184,0:02:04,146,93.15%,81.87%,$0.00
/2020/02/20/katelyn-ohashi-encourages-confidence-in-ucla-gymnastics-attends-events/,192,173,0:02:46,163,87.73%,84.38%,$0.00
/2020/05/02/usac-officer-evaluation-brandon-broukhim-general-representative-3/,192,174,0:00:58,18,50.00%,13.02%,$0.00
/2020/05/04/former-daily-bruin-editor-part-of-pulitzer-prize-winning-staff-for-journalism/,192,176,0:03:05,143,86.01%,73.96%,$0.00
/2020/06/04/los-angeles-county-will-not-enforce-countywide-curfew-thursday-night,192,176,0:02:21,121,91.74%,73.96%,$0.00
/2020/03/05/jacks-facts-ucla-athletics-and-jorge-salcedo-to-blame-for-varsity-blues-fallout/,190,181,0:03:21,150,83.33%,76.32%,$0.00
/2020/03/09/the-quad-boiling-down-the-bagels-beginnings-before-it-was-a-bruins-breakfast/,190,177,0:03:13,119,88.24%,68.42%,$0.00
/2020/05/25/ucla-faculty-speak-on-why-fewer-people-may-be-responding-to-2020-us-census/,190,183,0:02:50,137,80.29%,73.68%,$0.00
/2020/05/11/tennis-seniors-use-extended-eligibility-to-return-to-westwood-for-2021-season/,189,172,0:03:21,96,87.50%,69.31%,$0.00
/2020/05/28/the-quad-reflecting-on-the-comfort-history-of-buffet-style-dining-despite-its-uncertain-future/,189,169,0:03:26,134,88.81%,79.89%,$0.00
/2020/03/11/out-of-bounds-it-has-all-built-up-to-this/,188,178,0:02:17,127,86.61%,73.94%,$0.00
/2020/05/27/professor-tracy-johnson-announced-as-incoming-dean-of-life-sciences-division/,188,176,0:01:20,102,89.22%,65.43%,$0.00
/2020/04/07/the-online-edition-the-adjustment-show/,187,170,0:04:51,94,81.91%,61.50%,$0.00
/2020/03/11/graphic-earning-his-stripes/,186,180,0:00:32,125,96.80%,78.49%,$0.00
/2020/03/12/ucla-academic-senate-relaxes-final-exam-restrictions-in-response-to-coronavirus,186,178,0:05:14,168,91.07%,88.71%,$0.00
/2020/03/10/editorial-cartoon-taking-the-leap/,185,166,0:00:58,74,87.84%,50.81%,$0.00
/2020/04/29/jazz-quintet-banned-uses-music-to-explore-meanings-of-liberation/,185,175,0:02:34,156,91.67%,86.49%,$0.00
/2020/05/29/students-should-be-able-to-apply-to-take-classes-on-a-pass-no-pass-basis,185,181,0:01:37,128,87.50%,73.51%,$0.00
/2020/06/10/gallery-through-our-lens-2019-2020,185,137,0:03:12,104,75.96%,60.00%,$0.00
/2020/06/10/having-introvert-and-extrovert-qualities-has-made-me-a-better-journalist-30,185,175,0:03:05,138,89.13%,75.14%,$0.00
/2020/01/16/ucla-womens-soccer-sees-3-players-selected-in-2020-nwsl-college-draft/,184,178,0:03:54,156,93.59%,88.04%,$0.00
/2020/04/02/music-preview-rising-artists-span-genres-and-embrace-lyrical-depth-in-recent-releases/,184,156,0:02:49,123,84.55%,71.20%,$0.00
/2020/05/27/scouting-report-johnny-juzang,184,174,0:03:14,114,86.84%,78.26%,$0.00
/2020/01/06/ucla-school-of-law-will-offer-master-of-legal-studies-degree-starting-august-2020/,182,174,0:04:22,170,94.12%,92.86%,$0.00
/2020/05/06/student-seeks-to-spread-aloha-spirit-in-hawaiian-inspired-line-of-wire-jewelry/,181,157,0:02:45,125,82.40%,74.03%,$0.00
/2020/06/20/ucla-programs-aim-to-help-students-facing-food-insecurity-during-pandemic,181,170,0:03:48,120,90.83%,78.45%,$0.00
/2020/05/04/uc-workers-continue-cola-movement-virtually-on-international-workers-day/,180,170,0:03:13,120,90.00%,78.89%,$0.00
/2020/05/19/student-created-app-charipay-streamlines-process-of-donating-to-charity/,180,166,0:02:52,143,87.41%,78.33%,$0.00
/2020/05/27/the-quad-how-finding-tunes-to-fit-your-flow-of-feelings-can-help-you-cope-in-quarantine/,180,154,0:04:39,114,80.70%,73.89%,$0.00
/2020/05/14/womens-volleyball-rounds-out-2020-recruiting-class-for-a-total-to-8-new-players/,178,171,0:02:14,41,87.80%,57.87%,$0.00
/2020/04/29/columns-from-quarantine-strength-resilience-are-key-to-navigating-post-pandemic-world-as-an-asian-american/,177,154,0:03:56,142,84.51%,77.40%,$0.00
/2020/04/10/the-quad-quarantine-can-be-a-time-to-follow-in-shakespeares-footsteps-explore-new-ideas/,176,168,0:02:11,128,91.41%,81.25%,$0.00
/2020/05/07/tays-takedown-shortening-of-mlb-draft-could-deny-collegiate-players-chance-to-go-pro-in-2020/,176,160,0:04:45,123,86.99%,74.43%,$0.00
/2020/05/25/tv-review-childrick-of-mort-dismantles-ricks-god-complex-focuses-on-family-dynamics/,176,169,0:05:20,160,94.38%,92.05%,$0.00
/2020/02/27/layoffs-of-tft-employees-to-combat-2m-deficit-draws-protest-from-students-staff/,175,167,0:04:14,142,83.80%,79.43%,$0.00
/2020/03/08/gymnastics-finishes-pac-12-run-with-victory-on-all-four-events-against-california/,175,166,0:02:44,113,89.38%,72.00%,$0.00
/2020/05/18/baseballs-garrett-mitchell-has-versatility-skill-to-be-early-1st-day-draft-pick,175,164,0:03:10,149,94.63%,88.57%,$0.00
/2020/02/28/jaime-jaquez-jr-hopes-to-make-familia-proud-aims-to-inspire-future-latino-players/,174,164,0:03:10,141,92.91%,84.48%,$0.00
/2020/05/04/editorial-uclas-essential-workers-must-be-prioritized-with-protective-measures/,173,161,0:03:02,108,81.48%,68.79%,$0.00
/2020/05/13/wvia-working-to-remove-parking-food-regulations-to-help-support-villages-economy/,173,168,0:02:04,113,86.73%,70.52%,$0.00
/2020/04/20/columns-from-quarantine-a-remote-journey-to-lead-a-dispersed-staff-as-editor-in-chief/,172,159,0:02:50,97,81.44%,61.63%,$0.00
/2020/04/06/grad-students-need-financial-support-past-summer-fellowships-to-help-cola-concerns/,171,163,0:01:36,116,83.62%,72.51%,$0.00
/2020/04/07/second-take-online-live-performances-proliferate-revitalize-highly-restrictive-music-industry/,171,163,0:02:29,120,92.50%,81.87%,$0.00
/2020/04/10/headliners-akshay-anand-lets-narratives-lead-the-way-in-his-original-acoustic-music/,171,156,0:02:29,95,85.26%,65.50%,$0.00
/2020/05/20/ncaa-approves-football-basketball-student-athletes-return-to-campus-starting-june-1,171,166,0:03:14,155,94.84%,91.23%,$0.00
/2020/03/18/womens-basketball-had-an-unprecedented-start-and-end-to-its-record-setting-season/,170,160,0:02:39,83,84.34%,67.06%,$0.00
/2020/05/04/student-organizations-collaborate-to-create-3d-printed-ppe-for-hospitals/,170,152,0:05:40,129,87.60%,78.82%,$0.00
/2020/06/10/a-tenure-with-some-turbulence-daily-bruin-team-helped-me-tackle-the-tough-moments-30,170,158,0:01:46,85,69.77%,50.59%,$0.00
/2020/02/06/ucla-school-of-law-to-open-immigration-law-center-with-5-million-alumna-donation/,169,154,0:05:51,138,89.86%,88.17%,$0.00
/2020/02/09/new-taco-restaurant-brings-authentic-mexican-food-to-westwood/,169,156,0:03:42,146,84.93%,81.66%,$0.00
/2020/04/24/donations-help-westwood-businesses-feed-the-frontline-of-health-care-workers/,169,151,0:03:14,103,87.38%,73.37%,$0.00
/2020/04/17/un-connon-opinions-chris-smith-would-be-wise-to-forgo-nba-draft-stay-at-ucla-for-his-senior-year,167,161,0:02:53,156,92.95%,92.22%,$0.00
/2020/02/10/academic-espionage-accusations-unfairly-target-chinese-international-students/,166,157,0:01:43,132,80.30%,77.11%,$0.00
/2020/04/10/mens-volleyball-reflects-on-a-season-cut-short-by-the-coronavirus-pandemic/,165,151,0:02:02,106,85.85%,68.48%,$0.00
/2020/04/16/ucla-report-urges-vote-by-mail-other-provisions-for-elections-during-covid-19/,165,149,0:02:22,123,91.06%,80.61%,$0.00
/2020/04/29/silver-screen-psychology-films-tv-could-do-more-work-to-broaden-depictions-of-anxiety/,165,150,0:02:26,117,90.60%,77.58%,$0.00
/2020/05/12/universal-access-is-not-the-same-as-equitable-access-when-it-comes-to-covid-19-tests/,165,151,0:03:12,113,84.96%,74.55%,$0.00
/2020/02/11/ucla-graduate-students-stage-protest-over-low-wages-lack-of-affordable-housing/,164,157,0:04:44,121,85.12%,75.61%,$0.00
/2020/03/06/students-gather-on-campus-to-protest-indias-citizenship-amendment-act/,164,151,0:01:21,129,90.70%,81.71%,$0.00
/2020/05/15/album-review-charli-xcx-masterfully-captures-moment-in-lyrical-journey-of-how-im-feeling-now/,164,151,0:03:07,123,86.18%,74.39%,$0.00
/2020/05/18/tv-review-rick-upstages-morty-in-the-vat-of-acid-episode-limiting-character-growth,164,152,0:04:39,147,91.16%,90.24%,$0.00
/2020/04/27/ucla-anderson-students-lead-donation-drives-to-gather-ppe-for-health-care-workers/,163,152,0:01:25,116,86.21%,77.91%,$0.00
/2020/04/24/despite-season-being-canceled-ucla-beach-volleyball-looks-ahead-to-next-year/,162,158,0:03:07,103,84.47%,71.60%,$0.00
/2020/05/14/throwback-thursday-bruins-have-been-dealing-with-technical-difficulties-since-the-dawn-of-the-internet/,161,155,0:02:42,118,90.68%,76.40%,$0.00
/2020/01/29/party-of-five-season-1-review-episode-5-rafa/,160,145,0:05:56,134,79.85%,75.62%,$0.00
/2020/05/02/usac-officer-evaluation-shahamah-tariq-international-student-representative/,160,138,0:01:09,32,78.12%,25.00%,$0.00
/2020/04/20/hot-prowl-burglary-of-electronics-reported-on-landfair-avenue/,159,141,0:00:44,74,91.89%,57.23%,$0.00
/2020/05/01/the-quad-a-quick-quarantine-glow-up-may-be-both-unachievable-and-unhealthy,159,154,0:03:21,151,96.03%,93.71%,$0.00
/2020/06/10/possible-changes-to-daca-create-uncertainty-for-undocumented-students,159,153,0:04:14,135,89.63%,84.91%,$0.00
/2020/01/28/ucla-researchers-find-success-with-preventative-therapy-for-bipolar-disorder/,158,151,0:04:00,151,95.36%,95.57%,$0.00
/2020/03/12/ucla-beach-volleyball-defeats-crosstown-rival-usc-for-2nd-time-this-season/,158,151,0:02:03,63,80.95%,58.23%,$0.00
/2020/05/26/pac-12-to-allow-student-athletes-back-on-campuses-as-early-as-june-15/,158,149,0:01:38,76,89.47%,68.35%,$0.00
/2020/05/02/usac-officer-evaluation-tara-steinmetz-campus-events-commissioner/,157,150,0:01:10,23,78.26%,17.20%,$0.00
/2020/06/10/students-face-mental-health-challenges-in-wake-of-pandemic-protests,157,119,0:01:23,72,79.17%,55.41%,$0.00
/2020/02/27/uc-files-charges-against-uaw-local-2865-following-wildcat-strikes-at-ucsc/,156,147,0:03:02,129,76.74%,78.85%,$0.00
/2020/04/09/scattered-bruins-international-students-from-china-explore-new-art-forms-while-in-isolation/,156,149,0:02:30,79,92.41%,67.31%,$0.00
/2020/05/15/alfred-brews-up-solutions-to-keep-coffee-matcha-in-hands-of-angelenos/,156,146,0:03:36,112,89.29%,73.72%,$0.00
/2020/06/01/la-county-allows-reopening-of-houses-of-worship-for-in-person-religious-services,156,140,0:02:29,128,90.62%,83.97%,$0.00
/2020/01/12/rex-orange-county-gives-emotion-filled-performance-for-the-pony-tour/,155,148,0:02:22,145,92.41%,90.32%,$0.00
/2020/05/28/caroline-pernick-shares-stories-explores-emotions-through-music/,155,143,0:01:49,108,82.41%,74.19%,$0.00
/2020/06/24/dorian-thompson-robinson-to-raise-money-in-support-of-black-lives-matter-movement,155,141,0:05:44,137,89.05%,87.10%,$0.00
/2020/03/20/letter-from-the-editors-daily-bruin-will-cease-printing-and-move-online-for-rest-of-academic-year/,154,143,0:02:55,121,83.47%,76.62%,$0.00
/2020/06/10/copy-editing-for-the-daily-bruin-taught-me-to-move-on-from-my-mistakes-with-style-30,154,137,0:02:04,94,80.85%,63.64%,$0.00
/2020/03/01/whether-admissions-officers-like-applicants-social-media-or-not-shouldnt-matter/,153,146,0:01:59,125,76.80%,70.59%,$0.00
/2020/05/07/caps-sees-fewer-students-seeking-mental-health-services-despite-pandemic/,153,137,0:02:08,66,84.85%,60.13%,$0.00
/2020/06/01/qa-ucla-baseball-coach-talks-impact-of-shortened-mlb-draft-on-collegiate-baseball,153,143,0:04:06,96,90.62%,73.86%,$0.00
/2020/03/13/fowler-museum-and-hammer-museum-to-close-in-response-to-covid-19/,152,143,0:01:55,74,79.73%,58.55%,$0.00
/2020/05/14/creatives-continue-to-create-through-entertainment-industrys-pause-amid-pandemic/,152,145,0:01:44,81,95.06%,65.79%,$0.00
/2020/05/18/baseballs-garrett-mitchell-has-versatility-skill-to-be-early-1st-day-draft-pick/,152,148,0:02:24,111,93.69%,82.89%,$0.00
/2020/01/08/student-self-publishes-childrens-book-to-broaden-asian-american-representation/,151,143,0:03:31,113,84.96%,79.47%,$0.00
/2020/01/23/coronavirus-not-an-immediate-threat-to-campus-according-to-ucla-health/,151,146,0:01:09,118,87.29%,79.47%,$0.00
/2020/05/28/uc-must-be-mindful-to-not-perpetuate-inequity-with-replacement-admissions-exam/,151,141,0:03:01,115,91.30%,82.78%,$0.00
/2020/06/04/students-sign-petition-to-fire-ucla-lecturer-after-many-find-his-email-insensitive?fbclid=IwAR2W5ZHrlTJxq9pD_6af3iM3cy1pGMw3znYutJ8CC7moNNmz3Mf0mfVrHv0,151,135,0:03:48,127,72.44%,71.52%,$0.00
/2020/06/10/second-take-performative-activism-fails-to-prompt-meaningful-long-term-systemic-change,151,146,0:04:06,112,90.18%,80.79%,$0.00
/2020/01/15/un-connon-opinions-mens-basketball-is-losing-its-touch-when-it-comes-to-securing-recruits/,150,141,0:05:56,128,92.19%,86.67%,$0.00
/2020/02/21/ucla-students-work-with-nonprofits-to-make-positive-impacts-using-technology/,150,141,0:02:59,132,90.91%,87.33%,$0.00
/2020/04/02/editorial-uc-community-deserves-communication-and-action-from-regents-amid-pandemic/,150,141,0:01:37,65,87.69%,62.00%,$0.00
/2020/03/02/ice-cube-receives-award-at-ucla-for-contributions-to-entertainment-sports/,149,141,0:03:57,129,86.05%,80.54%,$0.00
/2020/04/26/gallery-quarantine-gardening/,149,128,0:03:03,64,73.44%,57.05%,$0.00
/2020/05/13/usac-election-voter-turnout-increases-with-referendums-on-ballot-online-format/,149,129,0:03:03,39,69.23%,40.94%,$0.00
/2020/06/07/majority-of-national-guard-troops-to-leave-la-as-protests-have-become-less-violent,149,141,0:02:26,112,84.82%,71.81%,$0.00
/2020/02/09/uc-patient-care-and-service-workers-ratify-wage-increases-more-in-new-contract/,148,136,0:03:12,127,80.31%,81.08%,$0.00
/2020/03/09/softball-continues-winning-streak-in-invitational-tournament/,147,140,0:04:36,100,91.00%,73.47%,$0.00
/2020/03/26/students-may-take-multiple-pass-no-pass-classes-in-the-spring-in-light-of-covid-19/?fbclid=IwAR3KVV-LP8bgWVVJ2OJ87Kaz6Ws54mNGXAafGZrkJw-xrZVEQ_SRRNmTAQE,147,137,0:01:42,137,91.24%,91.16%,$0.00
/2020/05/02/usac-officer-evaluation-isabel-oraha-transfer-student-representative/,147,126,0:01:00,24,66.67%,17.69%,$0.00
/2020/05/02/usac-officer-evaluation-mihika-sridhar-student-wellness-commissioner/,147,133,0:00:38,16,75.00%,14.97%,$0.00
/2020/05/11/editorial-title-ix-rule-changes-can-deter-students-from-reporting-cases-of-sexual-violence/,147,135,0:02:28,93,80.65%,70.07%,$0.00
/2020/03/08/editorial-long-wait-times-on-super-tuesday-inconvenience-student-voters/,146,138,0:01:39,87,79.31%,69.18%,$0.00
/2020/04/23/graduate-schools-prospective-students-adjust-to-lack-of-in-person-admissions-tests,146,131,0:02:25,126,89.68%,84.93%,$0.00
/2020/05/01/5-westwood-village-ralphs-workers-test-positive-for-covid-19,146,133,0:02:06,121,81.82%,78.77%,$0.00
/2020/05/22/ucla-and-student-leadership-work-to-equitably-distribute-financial-grants/,146,139,0:01:39,45,75.56%,47.26%,$0.00
/2020/05/25/tv-review-childrick-of-mort-dismantles-ricks-god-complex-focuses-on-family-dynamics,146,138,0:04:14,135,91.85%,90.41%,$0.00
/2020/06/10/campus-queries-how-can-we-improve-our-memories,146,140,0:02:34,101,91.09%,72.60%,$0.00
